N;Hakimi;PrimDijkstra;Lepszy%
1;1;10,3333;Hakimi;90,32%;
2;0,6667;7;Hakimi;90,48%;
3;1,3333;5;Hakimi;73,33%;
4;2;5,3333;Hakimi;62,5%;
5;3,6667;5,3333;Hakimi;31,25%;
6;2,6667;8,3333;Hakimi;68%;
7;7,3333;8,6667;Hakimi;15,38%;
8;5,3333;7,6667;Hakimi;30,43%;
9;2,3333;8;Hakimi;70,83%;
10;3;11;Hakimi;72,73%;
11;4,6667;9,6667;Hakimi;51,72%;
12;5,3333;11,6667;Hakimi;54,29%;
13;24;15,3333;PrimDisjkstra;36,11%;
14;13,6667;17,3333;Hakimi;21,15%;
15;51;18,3333;PrimDisjkstra;64,05%;
16;34,6667;26,6667;PrimDisjkstra;23,08%;
17;71,6667;37,3333;PrimDisjkstra;47,91%;
18;51,6667;54,6667;Hakimi;5,49%;
19;209;53,3333;PrimDisjkstra;74,48%;
20;246;69,3333;PrimDisjkstra;71,82%;
