N;Hakimi;PrimDijkstra;Lepszy;%
1;1,6667;9;Hakimi;81,48%;
2;1;8,3333;Hakimi;88%;
3;1,6667;5;Hakimi;66,67%;
4;2,3333;6,3333;Hakimi;63,16%;
5;2,6667;6;Hakimi;55,56%;
6;3,3333;7;Hakimi;52,38%;
7;2,6667;12,3333;Hakimi;78,38%;
8;5,6667;7,6667;Hakimi;26,09%;
9;4,3333;12;Hakimi;63,89%;
10;2,6667;21;Hakimi;87,3%;
11;5;12,3333;Hakimi;59,46%;
12;6;12,3333;Hakimi;51,35%;
13;11,6667;14,3333;Hakimi;18,6%;
14;27,3333;21;PrimDisjkstra;23,17%;
15;27,6667;18;PrimDisjkstra;34,94%;
16;35;30,3333;PrimDisjkstra;13,33%;
17;23,3333;47,3333;Hakimi;50,7%;
18;94,3333;39,6667;PrimDisjkstra;57,95%;
19;31,6667;75,6667;Hakimi;58,15%;
20;72,3333;83;Hakimi;12,85%;
